name,calories,protein_g,fat_g,fiber_g,carbo_g,sugar_g
100% Bran,70,4,1,10,5,6
100% Natural Bran,120,3,5,2,8,8
All-Bran,70,4,1,9,7,5
All-Bran with Extra Fiber,50,4,0,14,8,0
Almond Delight,110,2,2,1,14,8
Apple Cinnamon Cheerios,110,2,2,1.5,10.5,10
Apple Jacks,110,2,0,1,11,14
Basic 4,130,3,2,2,18,8
Bran Chex,90,2,1,4,15,6
Bran Flakes,90,3,0,5,13,5
Cap'n'Crunch,120,1,2,0,12,12
Cheerios,110,6,2,2,17,1
Cinnamon Toast Crunch,120,1,3,0,13,9
Clusters,110,3,2,2,13,7
Cocoa Puffs,110,1,1,0,12,13
Corn Chex,110,2,0,0,22,3
Corn Flakes,100,2,0,1,21,2
Corn Pops,110,1,0,1,13,12
Count Chocula,110,1,1,0,12,13
Cracklin' Oat Bran,110,3,3,4,10,7
Cream of Wheat (Quick),100,3,0,1,21,0
Crispix,110,2,0,1,21,3
Crispy Wheat & Raisins,100,2,1,2,11,10
Double Chex,100,2,0,1,18,5
Froot Loops,110,2,1,1,11,13
Frosted Flakes,110,1,0,1,14,11
Frosted Mini-Wheats,100,3,0,3,14,7
Fruit & Fibre Dates; Walnuts; and Oats,120,3,2,5,12,10
Fruitful Bran,120,3,0,5,14,12
Fruity Pebbles,110,1,1,0,13,12
Golden Crisp,100,2,0,0,11,15
Golden Grahams,110,1,1,0,15,9
Grape Nuts Flakes,100,3,1,3,15,5
Grape-Nuts,110,3,0,3,17,3
Great Grains Pecan,120,3,3,3,13,4
Honey Graham Ohs,120,1,2,1,12,11
Honey Nut Cheerios,110,3,1,1.5,11.5,10
Honey-comb,110,1,0,0,14,11
Just Right Crunchy  Nuggets,110,2,1,1,17,6
Just Right Fruit & Nut,140,3,1,2,20,9
Kix,110,2,1,0,21,3
Life,100,4,2,2,12,6
Lucky Charms,110,2,1,0,12,12
Maypo,100,4,1,0,16,3
Muesli Raisins; Dates; & Almonds,150,4,3,3,16,11
Muesli Raisins; Peaches; & Pecans,150,4,3,3,16,11
Mueslix Crispy Blend,160,3,2,3,17,13
Multi-Grain Cheerios,100,2,1,2,15,6
Nut&Honey Crunch,120,2,1,0,15,9
Nutri-Grain Almond-Raisin,140,3,2,3,21,7
Nutri-grain Wheat,90,3,0,3,18,2
Oatmeal Raisin Crisp,130,3,2,1.5,13.5,10
Post Nat. Raisin Bran,120,3,1,6,11,14
Product 19,100,3,0,1,20,3
Puffed Rice,50,1,0,0,13,0
Puffed Wheat,50,2,0,1,10,0
Quaker Oat Squares,100,4,1,2,14,6
Quaker Oatmeal,100,5,2,2.7,-1,-1
Raisin Bran,120,3,1,5,14,12
Raisin Nut Bran,100,3,2,2.5,10.5,8
Raisin Squares,90,2,0,2,15,6
Rice Chex,110,1,0,0,23,2
Rice Krispies,110,2,0,0,22,3
Shredded Wheat,80,2,0,3,16,0
Shredded Wheat 'n'Bran,90,3,0,4,19,0
Shredded Wheat spoon size,90,3,0,3,20,0
Smacks,110,2,1,1,9,15
Special K,110,6,0,1,16,3
Strawberry Fruit Wheats,90,2,0,3,15,5
Total Corn Flakes,110,2,1,0,21,3
Total Raisin Bran,140,3,1,4,15,14
Total Whole Grain,100,3,1,3,16,3
Triples,110,2,1,0,21,3
Trix,110,1,1,0,13,12
Wheat Chex,100,3,1,3,17,3
Wheaties,100,3,1,3,17,3
Wheaties Honey Gold,110,2,1,1,16,8